id,title,place,description,site_url,favorites_count,comments_count,publication_date
51343,На трассе М-11 хотят сделать музыкальную разметку,,Она помогает водителям следить за расстоянием до обочины.,https://kudago.com/all/news/na-trasse-m-11-hotyat-sdelat/,0,0,2024-09-11
51317,Мир искусства: 3 канала в VK Видео для вдохновения и творчества,,"Узнайте больше о мире искусства и расширяйте свои горизонты! KudaGo и VK Видео выбрали для вас видеоблоги, где искусство становится доступным каждому. Здесь можно познакомиться с выдающимися произведениями, узнать много нового от экспертов в сфере культуры и получить заряд вдохновения для собственного творчества.",https://kudago.com/all/news/mir-iskusstva-3-kanala-v-vk/,1,0,2024-09-11
51341,Пулково запускает бесплатный шаттл до терминала,,Он  будет курсировать по ночам.,https://kudago.com/spb/news/pulkovo-zapuskaet-besplatnyj-shattl-do-terminala/,0,0,2024-09-11
51340,В Финском заливе заметили белых цапель,,Они охотились рядом с дамбой.,https://kudago.com/spb/news/v-finskom-zalive-zametili-belyih/,0,0,2024-09-11
31702,Перфекционизм и чёрный юмор — что объединяет фильмы Стэнли Кубрика,,"Стэнли Кубрик по праву считается одним из самых значимых режиссёров мирового кинематографа. Он получил признание ещё при жизни, и до сих пор его фильмы пользуются огромной популярностью. «Сияние», «Заводной апельсин», «Цельнометаллическая оболочка» — каждая из его 13 картин самобытна и не похожа на другие. Однако даже у такого многогранного автора есть чёткая методология, которая прослеживается в каждой работе. Мы решили вспомнить, что объединяет картины гениального режиссёра. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/absolyutnyij-perfektsionizm-i/,3,0,2024-09-10
51336,Стартовал кастинг для нового сериала про Гарри Поттера,,Исполнителей ищут в Британии и Ирландии.,https://kudago.com/all/news/startoval-kasting-dlya-novogo/,0,0,2024-09-10
51335,"Стало известно, кто снимет четвёртого «Человека-паука»",,Стороны ведут переговоры.,https://kudago.com/all/news/kto-snimet-chetvertogo-cheloveka-pauka/,0,0,2024-09-10
51333,В Пушкине реставрируют старинный вокзал,,Работы планируют завершить до конца года.,https://kudago.com/spb/news/v-pushkine-restavriruyut-vokzal/,0,0,2024-09-10
51334,Создатели нового фильма «Буратино» запустили масштабный кастинг,,Любой желающий может стать частью актёрской команды.,https://kudago.com/all/news/kasting-v-buratino/,0,0,2024-09-10
51330,В центре Петербурга запретят проезд и парковку,,Все ограничения снимут только 22 сентября.,https://kudago.com/spb/news/v-tsentre-peterburga-zapretyat/,0,0,2024-09-10
51331,«Победа» анонсировала распродажу билетов,,Скидки на все направления.,https://kudago.com/all/news/pobeda-anonsirovala-rasprodazhu/,0,0,2024-09-10
51327,"Названы станции метро Петербурга, где будут тестировать оплату по биометрии",,Первыми новую технологию опробуют сотрудники подземки.,https://kudago.com/spb/news/testirovat-oplatu-po-biometrii/,0,0,2024-09-10
51320,Linkin Park: легендарная группа в цифрах,,"На прошлой неделе группа Linkin Park объявила о возвращении на сцену, гастрольном туре и грядущем выпуске очередного альбома. Состав команды пополнился новыми участниками — и теперь готов к покорению новых высот!",https://kudago.com/all/news/linkin-park-v-tsifrah/,2,0,2024-09-10
51326,В Петербурге заметили уличное пианино,,На нём просят не играть ночью.,https://kudago.com/spb/news/v-peterburge-zametili-ulichnoe-pianino/,0,0,2024-09-10
51325,Apple провела презентацию новинок 2024 года,,"Покупателям представили улучшенные модели смартфонов, часов и наушников.",https://kudago.com/all/news/apple-provela-prezentatsiyu/,0,0,2024-09-10
51324,В Удельном парке белки устраивают грибной дождь,,Особую осторожность следует проявлять в районе дубовой поляны.,https://kudago.com/spb/news/posetitelej-udelnogo-parka/,0,0,2024-09-10
51322,Новая экотропа появилась в Ленобласти,,Её обустройство заняло год.,https://kudago.com/spb/news/novaya-ekotropa-poyavilas-v-lenoblasti/,0,0,2024-09-10
51316,В Ленобласти пожарные спасли пса из люка коллектора,,"Он угодил в ловушку, когда вышел на утреннюю пробежку.",https://kudago.com/spb/news/v-lenoblasti-pozharnyie-spasli-psa/,0,0,2024-09-09
51314,В Адыгее сплели самую длинную в истории  России сырную косу,,Её изготовили во время гастрономического фестиваля.,https://kudago.com/all/news/samaya-dlinnaya-syrnaya-kosa-rossii/,0,0,2024-09-09
51312,«Сёгун» установил рекорд по числу выигранных Creative Arts Emmys,,Также награда досталась Джейми Ли Кёртис.,https://kudago.com/all/news/syogun-ustanovil-rekord-po/,0,0,2024-09-09
51310,Стали известны лауреаты Венецианского кинофестиваля,,Главный приз получил Педро Альмодовар.,https://kudago.com/all/news/laureaty-venecianskogo-kinofestivalya-2024/,0,0,2024-09-09
51309,The Weeknd поделился обложкой нового альбома,,И его названием.,https://kudago.com/all/news/the-weeknd-podelilsya-oblozhkoj/,0,0,2024-09-09
51308,Фестиваль Beat Weekend 2024 представил программу для Санкт-Петербурга,,На показы пригласили экспертных гостей под тематику каждого фильма.,https://kudago.com/spb/news/festival-beat-weekend-2024/,0,0,2024-09-09
